country,Freedom_in_the_World_2018,Index_of_Economic_Freedom_2018,Press_Freedom_Index_2018,Democracy_Index_2017
Malaysia,partly free,mostly free,difficult situation,flawed democracy
Maldives,partly free,mostly unfree,difficult situation,n/a
Mali,partly free,mostly unfree,difficult situation,hybrid regime
Malta,free,moderately free,noticeable problems,full democracy
Marshall Islands,free,n/a,n/a,n/a
Mauritania,not free,mostly unfree,noticeable problems,authoritarian regime
Mauritius,free,mostly free,noticeable problems,full democracy
Mexico,partly free,moderately free,difficult situation,flawed democracy
Federated States of Micronesia,free,mostly unfree,n/a,n/a
Moldova,partly free,mostly unfree,noticeable problems,hybrid regime
Monaco,free,n/a,n/a,n/a
Mongolia,free,mostly unfree,noticeable problems,flawed democracy
Montenegro,partly free,moderately free,noticeable problems,hybrid regime
Morocco,partly free,moderately free,difficult situation,hybrid regime
Mozambique,partly free,repressed,noticeable problems,hybrid regime
Nagorno-Karabakh,partly free,n/a,n/a,n/a
Namibia,free,mostly unfree,satisfactory situation,flawed democracy
Nauru,free,n/a,n/a,n/a
Nepal,partly free,mostly unfree,noticeable problems,hybrid regime
Netherlands,free,mostly free,good situation,full democracy
New Zealand,free,free,good situation,full democracy
Nicaragua,partly free,mostly unfree,noticeable problems,hybrid regime
Niger,partly free,repressed,noticeable problems,authoritarian regime
Nigeria,partly free,mostly unfree,difficult situation,hybrid regime
Northern Cyprus,free,n/a,noticeable problems,n/a
Norway,free,mostly free,good situation,full democracy
Oman,not free,moderately free,difficult situation,authoritarian regime
Pakistan,partly free,mostly unfree,difficult situation,hybrid regime
Palau,free,n/a,n/a,n/a
Palestine,not free,n/a,difficult situation,hybrid regime
Panama,free,moderately free,noticeable problems,flawed democracy
Papua New Guinea,partly free,mostly unfree,noticeable problems,flawed democracy
Paraguay,partly free,moderately free,noticeable problems,flawed democracy
Peru,free,moderately free,noticeable problems,flawed democracy
Philippines,partly free,moderately free,difficult situation,flawed democracy
Poland,free,moderately free,noticeable problems,flawed democracy
Portugal,free,moderately free,good situation,flawed democracy
Qatar,not free,mostly free,difficult situation,authoritarian regime
Romania,free,moderately free,satisfactory situation,flawed democracy
Russia,not free,mostly unfree,difficult situation,authoritarian regime
Rwanda,not free,moderately free,difficult situation,authoritarian regime
Saint Kitts and Nevis,free,n/a,satisfactory situation,n/a
Saint Lucia,free,moderately free,satisfactory situation,n/a
Saint Vincent and the Grenadines,free,moderately free,satisfactory situation,n/a
Samoa,free,moderately free,satisfactory situation,n/a
San Marino,free,n/a,n/a,n/a
São Tomé and Príncipe,free,mostly unfree,n/a,n/a
Saudi Arabia,not free,mostly unfree,very serious situation,authoritarian regime
Senegal,free,mostly unfree,noticeable problems,flawed democracy
Serbia,free,moderately free,noticeable problems,flawed democracy
Seychelles,partly free,moderately free,noticeable problems,n/a
Sierra Leone,partly free,mostly unfree,noticeable problems,hybrid regime
Singapore,partly free,free,difficult situation,flawed democracy
Slovakia,free,moderately free,satisfactory situation,flawed democracy
Slovenia,free,moderately free,satisfactory situation,flawed democracy
Solomon Islands,free,mostly unfree,n/a,n/a
Somalia,not free,n/a,very serious situation,n/a
Somaliland,partly free,n/a,n/a,n/a
South Africa,free,moderately free,satisfactory situation,flawed democracy
South Ossetia,not free,n/a,n/a,n/a
South Sudan,not free,n/a,difficult situation,n/a
Spain,free,moderately free,satisfactory situation,full democracy
Sri Lanka,partly free,mostly unfree,difficult situation,flawed democracy
Sudan,not free,repressed,very serious situation,authoritarian regime
Suriname,free,repressed,satisfactory situation,flawed democracy
Eswatini,not free,mostly unfree,difficult situation,authoritarian regime
Sweden,free,mostly free,good situation,full democracy
Switzerland,free,free,good situation,full democracy
Syria,not free,n/a,very serious situation,authoritarian regime
Taiwan,free,mostly free,satisfactory situation,flawed democracy
Tajikistan,not free,mostly unfree,difficult situation,authoritarian regime
Tanzania,partly free,mostly unfree,noticeable problems,hybrid regime
Thailand,not free,moderately free,difficult situation,hybrid regime
Togo,partly free,repressed,noticeable problems,authoritarian regime
Tonga,free,moderately free,noticeable problems,n/a
Transnistria,not free,n/a,n/a,n/a
Trinidad and Tobago,free,mostly unfree,satisfactory situation,flawed democracy
Tunisia,free,mostly unfree,noticeable problems,flawed democracy
Turkey,not free,moderately free,difficult situation,hybrid regime
Turkmenistan,not free,repressed,very serious situation,authoritarian regime
Tuvalu,free,n/a,n/a,n/a
Uganda,partly free,moderately free,difficult situation,hybrid regime
Ukraine,partly free,mostly unfree,noticeable problems,hybrid regime
United Arab Emirates,not free,mostly free,difficult situation,authoritarian regime
United Kingdom,free,mostly free,satisfactory situation,full democracy
United States,free,mostly free,satisfactory situation,flawed democracy
Uruguay,free,moderately free,satisfactory situation,full democracy
Uzbekistan,not free,mostly unfree,very serious situation,authoritarian regime
Vanuatu,free,moderately free,n/a,n/a
Venezuela,not free,repressed,difficult situation,authoritarian regime
Vietnam,not free,mostly unfree,very serious situation,authoritarian regime
West Bank,not free,n/a,difficult situation,n/a
Western Sahara,not free,n/a,n/a,n/a
Yemen,not free,n/a,very serious situation,authoritarian regime
Zambia,partly free,mostly unfree,difficult situation,hybrid regime
Zimbabwe,not free,repressed,difficult situation,authoritarian regime
